INDEX,STATUS,WFO,IDENT,NAME,CITY,ST,LAT,LONG
1,OPR,AKQ,KAKQ,Wakefield Municipal Airport,Wakefield,VA,42.69589996,-73.17040253
2,OPR,ALY,KALB,Albany International Airport,Albany,NY,42.74829865,-73.80169678
3,FLT,BGM,KAVP,Wilkes Barre Scranton International Airport,Wilkes-Barre/Scranton,PA,41.33850098,-75.7233963
4,FLT,BOX,KACK,Nantucket Memorial Airport,Nantucket,VT,41.25310135,-70.06020355
5,OPR,BUF,KART,Watertown International Airport,Watertown,NY,43.991901,-76.021698
6,OPR,BTV,KBTV,Burlington International Airport,South Burlington,VT,44.471901,-73.153297
7,FLT,CAE,KAGS,Augusta Regional At Bush Field,Augusta,GA,-81.9645,-81.9644
8,FLT,CAR,KBGR,Bangor International Airport,Bangor,ME,44.8074,-68.828102
9,OPR,CHS,KCHS,Charleston International Airport,Charleston,SC,32.898602,-80.040497
10,OPR,CLE,KAKR,Akron Executive Airport,Akron,OH,41.037498,-81.466904
11,FLT,CTP,KAOO,Altoona Blair County Airport,Altoona,PA,40.296398,-78.32
12,FLT,GSP,KAND,Anderson Regional Airport,Anderson,SC,34.49459839,-82.70939636
13,OPR,GYX,KAFN,Jaffrey Airfield Silver Ranch Airport,Jaffrey,NH,42.805099,-72.002998
14,OPR,ILM,KCRE,Grand Strand Airport,North Myrtle Beach,SC,33.81169891,-78.72389984
15,FLT,LWX,KBWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,MD,39.1754,-76.668297
16,FLT,MHX,KEWN,Coastal Carolina Regional Airport,New Bern,NC,35.07300186,-77.04290009
17,OPR,OKX,KBDR,Igor I Sikorsky Memorial Airport,Bridgeport,CT,41.16350174,-73.12619781
18,OPR,KPBZ,KAGC,Allegheny County Airport,Pittsburgh,PA,40.354401,-79.930199
19,FLT,PHL,KABE,Lehigh Valley International Airport,Allentown,PA,40.651773,-75.442797
20,FLT,RAH,KBUY,Burlington Alamance Regional Airport,Burlington,NC,36.04850006,-79.47489929
21,OPR,RLX,KBKW,Raleigh County Memorial Airport,Beckley,WV,37.78730011,-81.12419891
22,OPR,RNK,KBLF,Mercer County Airport,Bluefield,WV,37.295799,-81.207703
