id,status,wfo,ident,name,state,latitude_deg,longitude_deg
1,ORANGE,KCXX,KCXX,Burlington,VT,44.51102,-73.16641
2,ORANGE,KCXX,KCBW,Houlton,ME,46.03925,-67.806431
3,ORANGE,KCXX,KBOX,Boston,MA,41.955778,-71.136861
4,ORANGE,KCXX,KBUF,Buffalo,NY,42.948789,-78.736781
5,ORANGE,KCXX,KTYX,Fort Drum,NY,43.755694,-75.679861
6,ORANGE,KCXX,KILN,Wilmington,OH,39.420483,-83.82145
7,ORANGE,KCXX,KGYX,Portland,ME,43.891306,-70.256361
8,ORANGE,KCXX,KENX,Albany,NY,42.586556,-74.064083
9,ORANGE,KCXX,KBGM,Binghamton,NY,42.19969,-75.984722
10,ORANGE,KCXX,KBOX,Boston,MA,41.955778,-71.136861
11,ORANGE,KCXX,KOKX,New York,NY,40.865528, -72.863917
12,ORANGE,KCXX,KDIX,Philidelphia,PA,39.947089,-74.410731
13,ORANGE,KCXX,KCCX,State College,PA, 40.923167,-78.003722
14,ORANGE,KCXX,KPBZ,Pittsburgh,PA,40.531717,-80.217967
15,ORANGE,KCXX,KCLE,Cleveland,OH,41.413217, -81.859867
16,ORANGE,KCXX,KILN,Cincinnati,OH,39.420483,-83.82145
17,ORANGE,KCXX,KDOX,Dover AFB,DE,38.825767,-75.440117
18,ORANGE,KCXX,KLWX,Sterling,VA,38.976111, -77.4875
19,ORANGE,KCXX,KRLX,Charleston,WV,38.311111, -81.722778
20,ORANGE,KCXX,KAKQ,Wakefield,VA, 36.98405, -77.007361
21,ORANGE,KCXX,KFCX,Roanoke,VA,37.0244, -80.273969
22,ORANGE,KCXX,KRAX,Raliegh,NC,35.665519,-78.48975
23,ORANGE,KCXX,KMHX,Moorehead City,NC,34.775908,-76.876189
24,ORANGE,KCXX,KLTX,Wilmington,SC,33.98915, -78.429108
25,ORANGE,KCXX,KGSP,Greer,SC,34.883306,-82.219833
26,ORANGE,KCXX,KCAE,Columibia,SC,33.948722,-81.118278
27,ORANGE,KCXX,KCLX,Charleston,SC,32.655528,-81.042194
